cat,type,pop
Buddhism,Mahayana,14951768
Buddhism,Other,304682353
Buddhism,Theravada,165612816
Christianity,Anglican,71770419
Christianity,Catholic,1049709823
Christianity,Orthodox,268783851
Christianity,Other,163818774
Islam,Ahmadiyya,500000
Islam,Alawi,4108974
Islam,Sufi,1606195
Islam,Ibadhi,44843888
Islam,Shia,183218930
Islam,Sunni,1321204779
Judaism,Conservative,1899567
Judaism,Orthodox,6637406
Judaism,Other,2976676
Judaism,Reform,2509660
Nonreligious,Secular,31044205 
Nonreligious,Agnostic,45587800 
Nonreligious,Atheist,28606195
